1.000000000000000000e+00,3.972784743149113496e+01,5.000000000000000000e-01,4.700000000000000185e-03
1.000000000000000000e+00,3.977380302160862158e+01,5.500000000000000444e-01,4.700000000000000185e-03
1.000000000000000000e+00,3.988448035721637552e+01,6.000000000000000888e-01,4.700000000000000185e-03
1.000000000000000000e+00,4.005094393053200719e+01,6.500000000000001332e-01,4.700000000000000185e-03
1.000000000000000000e+00,4.026580331144970870e+01,7.000000000000001776e-01,4.700000000000000185e-03
1.000000000000000000e+00,4.052172071062552305e+01,7.500000000000002220e-01,4.700000000000000185e-03
1.000000000000000000e+00,4.081418925797429154e+01,8.000000000000002665e-01,4.700000000000000185e-03
1.000000000000000000e+00,4.116187863028032723e+01,8.500000000000003109e-01,4.700000000000000185e-03
1.000000000000000000e+00,2.779074043006286132e+01,9.000000000000003553e-01,4.700000000000000185e-03
1.000000000000000000e+00,2.658879857262471447e+01,9.500000000000003997e-01,4.700000000000000185e-03
1.100000000000000089e+00,3.585689735598118943e+01,5.000000000000000000e-01,4.700000000000000185e-03
1.100000000000000089e+00,3.905474800552514125e+01,5.500000000000000444e-01,4.700000000000000185e-03
1.100000000000000089e+00,4.336386527507581690e+01,6.000000000000000888e-01,4.700000000000000185e-03
1.100000000000000089e+00,4.360205390138878556e+01,6.500000000000001332e-01,4.700000000000000185e-03
1.100000000000000089e+00,4.334941836762183698e+01,7.000000000000001776e-01,4.700000000000000185e-03
1.100000000000000089e+00,4.303763018602049328e+01,7.500000000000002220e-01,4.700000000000000185e-03
1.100000000000000089e+00,4.274784138570572622e+01,8.000000000000002665e-01,4.700000000000000185e-03
1.100000000000000089e+00,4.246597461009109509e+01,8.500000000000003109e-01,4.700000000000000185e-03
1.100000000000000089e+00,3.323569469348435490e+01,9.000000000000003553e-01,4.700000000000000185e-03
1.100000000000000089e+00,2.536399531633855986e+01,9.500000000000003997e-01,4.700000000000000185e-03
1.200000000000000178e+00,3.135517627756189185e+01,5.000000000000000000e-01,4.700000000000000185e-03
1.200000000000000178e+00,3.155518999933308066e+01,5.500000000000000444e-01,4.700000000000000185e-03
1.200000000000000178e+00,3.169226272264817723e+01,6.000000000000000888e-01,4.700000000000000185e-03
1.200000000000000178e+00,3.176768892469552341e+01,6.500000000000001332e-01,4.700000000000000185e-03
1.200000000000000178e+00,3.178367283506350560e+01,7.000000000000001776e-01,4.700000000000000185e-03
1.200000000000000178e+00,3.174228966482830216e+01,7.500000000000002220e-01,4.700000000000000185e-03
1.200000000000000178e+00,3.164463789301970209e+01,8.000000000000002665e-01,4.700000000000000185e-03
1.200000000000000178e+00,3.148273579912729403e+01,8.500000000000003109e-01,4.700000000000000185e-03
1.200000000000000178e+00,3.045253994153776844e+01,9.000000000000003553e-01,4.700000000000000185e-03
1.200000000000000178e+00,2.481788395834439243e+01,9.500000000000003997e-01,4.700000000000000185e-03
1.300000000000000266e+00,2.990291303773508957e+01,5.000000000000000000e-01,4.700000000000000185e-03
1.300000000000000266e+00,2.981570448055751399e+01,5.500000000000000444e-01,4.700000000000000185e-03
1.300000000000000266e+00,2.968284111045008444e+01,6.000000000000000888e-01,4.700000000000000185e-03
1.300000000000000266e+00,2.950647865036025053e+01,6.500000000000001332e-01,4.700000000000000185e-03
1.300000000000000266e+00,2.928964773505920505e+01,7.000000000000001776e-01,4.700000000000000185e-03
1.300000000000000266e+00,2.903492429002534791e+01,7.500000000000002220e-01,4.700000000000000185e-03
1.300000000000000266e+00,2.874273699263398640e+01,8.000000000000002665e-01,4.700000000000000185e-03
1.300000000000000266e+00,2.840327417611413097e+01,8.500000000000003109e-01,4.700000000000000185e-03
1.300000000000000266e+00,2.780513192423251567e+01,9.000000000000003553e-01,4.700000000000000185e-03
1.300000000000000266e+00,2.463048561320972141e+01,9.500000000000003997e-01,4.700000000000000185e-03
1.400000000000000355e+00,2.907059053816307070e+01,5.000000000000000000e-01,4.700000000000000185e-03
1.400000000000000355e+00,2.883253792928039871e+01,5.500000000000000444e-01,4.700000000000000185e-03
1.400000000000000355e+00,2.856585875027262489e+01,6.000000000000000888e-01,4.700000000000000185e-03
1.400000000000000355e+00,2.827041545783186294e+01,6.500000000000001332e-01,4.700000000000000185e-03
1.400000000000000355e+00,2.794753358914374886e+01,7.000000000000001776e-01,4.700000000000000185e-03
1.400000000000000355e+00,2.759833116472132630e+01,7.500000000000002220e-01,4.700000000000000185e-03
1.400000000000000355e+00,2.722181166424999432e+01,8.000000000000002665e-01,4.700000000000000185e-03
1.400000000000000355e+00,2.680772866370031338e+01,8.500000000000003109e-01,4.700000000000000185e-03
1.400000000000000355e+00,2.625157492721730890e+01,9.000000000000003553e-01,4.700000000000000185e-03
1.400000000000000355e+00,2.443971901518721523e+01,9.500000000000003997e-01,4.700000000000000185e-03
1.500000000000000444e+00,2.849856711040887092e+01,5.000000000000000000e-01,4.700000000000000185e-03
1.500000000000000444e+00,2.815626956255916369e+01,5.500000000000000444e-01,4.700000000000000185e-03
1.500000000000000444e+00,2.779980855780857851e+01,6.000000000000000888e-01,4.700000000000000185e-03
1.500000000000000444e+00,2.742595744571488936e+01,6.500000000000001332e-01,4.700000000000000185e-03
1.500000000000000444e+00,2.703379292525111310e+01,7.000000000000001776e-01,4.700000000000000185e-03
1.500000000000000444e+00,2.662281879427485975e+01,7.500000000000002220e-01,4.700000000000000185e-03
1.500000000000000444e+00,2.619087877121014074e+01,8.000000000000002665e-01,4.700000000000000185e-03
1.500000000000000444e+00,2.572803297598000682e+01,8.500000000000003109e-01,4.700000000000000185e-03
1.500000000000000444e+00,2.517000597484830138e+01,9.000000000000003553e-01,4.700000000000000185e-03
1.500000000000000444e+00,2.401082302540670810e+01,9.500000000000003997e-01,4.700000000000000185e-03
1.600000000000000533e+00,2.805965017936293293e+01,5.000000000000000000e-01,4.700000000000000185e-03
1.600000000000000533e+00,2.763615517988669623e+01,5.500000000000000444e-01,4.700000000000000185e-03
1.600000000000000533e+00,2.721096899839291083e+01,6.000000000000000888e-01,4.700000000000000185e-03
1.600000000000000533e+00,2.677741584358570037e+01,6.500000000000001332e-01,4.700000000000000185e-03
1.600000000000000533e+00,2.633241352667636548e+01,7.000000000000001776e-01,4.700000000000000185e-03
1.600000000000000533e+00,2.587410111812502578e+01,7.500000000000002220e-01,4.700000000000000185e-03
1.600000000000000533e+00,2.539950778415832033e+01,8.000000000000002665e-01,4.700000000000000185e-03
1.600000000000000533e+00,2.489937679448953389e+01,8.500000000000003109e-01,4.700000000000000185e-03
1.600000000000000533e+00,2.433017717944201408e+01,9.000000000000003553e-01,4.700000000000000185e-03
1.600000000000000533e+00,2.344630960635247163e+01,9.500000000000003997e-01,4.700000000000000185e-03
1.700000000000000622e+00,2.769519762920675277e+01,5.000000000000000000e-01,4.700000000000000185e-03
1.700000000000000622e+00,2.720414122633802734e+01,5.500000000000000444e-01,4.700000000000000185e-03
1.700000000000000622e+00,2.672266263618219639e+01,6.000000000000000888e-01,4.700000000000000185e-03
1.700000000000000622e+00,2.624057643984933108e+01,6.500000000000001332e-01,4.700000000000000185e-03
1.700000000000000622e+00,2.575272584026764378e+01,7.000000000000001776e-01,4.700000000000000185e-03
1.700000000000000622e+00,2.525600033819764434e+01,7.500000000000002220e-01,4.700000000000000185e-03
1.700000000000000622e+00,2.474681409284035638e+01,8.000000000000002665e-01,4.700000000000000185e-03
1.700000000000000622e+00,2.421666763319925053e+01,8.500000000000003109e-01,4.700000000000000185e-03
1.700000000000000622e+00,2.363448419319353278e+01,9.000000000000003553e-01,4.700000000000000185e-03
1.700000000000000622e+00,2.286876288921030564e+01,9.500000000000003997e-01,4.700000000000000185e-03
1.800000000000000711e+00,2.737425083541265280e+01,5.000000000000000000e-01,4.700000000000000185e-03
1.800000000000000711e+00,2.682502176772153746e+01,5.500000000000000444e-01,4.700000000000000185e-03
1.800000000000000711e+00,2.629600345153432173e+01,6.000000000000000888e-01,4.700000000000000185e-03
